Wavelength,TsRTA_mod_Abs,5,1,MsAcT_Abs,TsRTA_Abs
576,0.086,0.078,0.059,,
578,0.085,0.076,0.058,,
580,0.083,0.075,0.058,,
582,0.082,0.074,0.057,,
584,0.08,0.073,0.057,,
586,0.079,0.072,0.056,,
588,0.078,0.071,0.056,,
590,0.077,0.07,0.055,,
592,0.076,0.069,0.055,,
594,0.074,0.068,0.054,,
596,0.074,0.068,0.054,,
598,0.072,0.067,0.053,,
600,0.071,0.066,0.053,,
602,0.07,0.065,0.052,,
604,0.069,0.064,0.052,,
606,0.068,0.063,0.052,,
608,0.067,0.062,0.051,,
610,0.066,0.062,0.051,,
612,0.066,0.061,0.051,,
614,0.065,0.06,0.05,,
616,0.064,0.06,0.05,,
618,0.063,0.059,0.05,,
620,0.062,0.058,0.049,,
622,0.062,0.058,0.049,,
624,0.061,0.057,0.048,,
626,0.06,0.056,0.048,,
628,0.059,0.056,0.048,,
630,0.059,0.055,0.048,,
632,0.058,0.055,0.047,,
634,0.058,0.054,0.047,,
636,0.058,0.054,0.047,,
638,0.057,0.054,0.046,,
640,0.057,0.053,0.046,,
642,0.056,0.053,0.046,,
644,0.056,0.052,0.045,,
646,0.055,0.052,0.045,,
648,0.055,0.052,0.045,,
650,0.054,0.051,0.045,,
652,0.054,0.051,0.044,,
654,0.054,0.051,0.044,,
656,0.053,0.051,0.044,,
658,0.053,0.05,0.044,,
660,0.053,0.05,0.044,,
662,0.053,0.05,0.044,,
664,0.052,0.05,0.044,,
666,0.052,0.05,0.044,,
668,0.052,0.049,0.043,,
670,0.052,0.049,0.043,,
672,0.051,0.049,0.043,,
674,0.051,0.049,0.043,,
676,0.051,0.049,0.043,,
678,0.051,0.048,0.043,,
680,0.051,0.048,0.043,,
682,0.051,0.048,0.043,,
684,0.05,0.048,0.043,,
686,0.05,0.048,0.043,,
688,0.05,0.048,0.043,,
690,0.05,0.048,0.043,,
692,0.05,0.048,0.042,,
694,0.05,0.048,0.042,,
696,0.05,0.048,0.042,,
698,0.05,0.048,0.042,,
700,0.05,0.047,0.042,,
